domain,street_address,mailable,in_target_list,flag
21tech.com,"1330 Broadway, Suite 701, Oakland, CA 94612, US",yes,,
360energysolutions.net,"8510 NW 68th St, Miami, Florida 33166, US",yes,yes,
48electric.com,"Chandler, AZ 85226, US",NO - city/state only,yes,
4btechnology.com,"100 Glenborough Dr, Suite 800, Houston, Texas 77067, US",yes,,
4c2electrical.com,"6401 Commerce Dr; Irving, Texas 75063, US",yes,yes,
4lp.com,"29092 Krentel Rd, Lacombe, Louisiana 70445, US",yes,yes,
4magnum.com,"41700 Gardenbrook Rd, Novi, Michigan 48375, US",yes,,
4standardelectric.com,"876 Vance Ave.; Memphis, TN 38126, US",yes,yes,
5stardrilling.com,"PO BOX 194, KINGSLEY, Michigan 49649, US",yes,yes,
5starengineering.com,"2151 WILLOWCREEK ROAD; PORTAGE, IN 46368, US",yes,yes,
741solutions.com,"6423 Cunningham Rd, Houston, Texas 77041, US",yes,yes,
a-1signs.com,"1441 Highway 96, Burns, Tennessee 37029, US",yes,,
a-1signsinc.com,"3950 Metropolitan St, New Orleans, Louisiana 70126, US",yes,,
a-aelectric.com,"2011 South Combee Road, Lakeland, Florida 33801-6855, US",yes,,
a-harmature.com,"1330 Westbank Expy; Westwego, Louisiana 70094, US",yes,yes,
a1eleco.com,"2783 Lapalco Blvd; Harvey, Louisiana 70058, US",yes,yes,
a1lightning.com,"10240 SW 134 Ct, Dunnellon, FL 34432, US",yes,yes,
aa-tech.com,"101 Trade Zone Drive; Ronkonkoma, NY 11779, US",yes,yes,
aaa-asphalt.com,"19155 Circle Lake Dr, Pinehurst, Texas 77362, US",yes,,
aaaelectrictx.com,"10001 s fm 1541; amarillo, TX 79118, US",yes,yes,
aaafiberglass.net,"3940 SW 113th St., Oklahoma City, Oklahoma 73173, US",yes,,
aaapaintco.com,"529 W. Roosevelt Rd., Wheaton, IL 60187, US",yes,,
aandwelectric.com,"127 W. 28th Street, Charlotte, North Carolina 28206, US",yes,yes,
aarowelectricalsolutions.com,"6410 TRUST PLACE; HUGHESVILLE, Maryland 20637, US",yes,yes,
aawva.com,"3412 BROADWAY AVE; Alexandria, Louisiana 71302, us",yes,yes,
abecelectric.com,"407 Spence Lane, Nashville, TN 37210, US",yes,yes,
abelectric.net,"1020 D St, Meridian, MS 39301, US",yes,yes,
aboutmmc.com,"5901 Fresca Dr; La Palma, California 90623, US",yes,yes,
abpowers.com,"2314 Montana; El Paso, Texas 79932, US",yes,yes,
abstractelectric.com,"116 N 12th Street, Hilbert, WI 54129, US",yes,yes,
acapellainc.com,"Petaluma, CA, US",NO - city/state only,,
accbr.com,"11914 Cloverland Court, Baton Rouge, LA 70809, US",yes,yes,
accentgraphicsinc.com,"523 E Rock Island Rd, Grand Prairie, Texas 75050, US",yes,,
accesstopower.com,"1990 Foundry Ct; Ceres, California 95307, US",yes,yes,
accuracal.com,"2834 W. Kingsley Rd., Garland, TX 75041, US",yes,,
accurateexcavation.com,"4833 30th Pl, Yuma, AZ 85365",yes,,
accuratepropertyrestoration.com,"2570 W 237th St, Unit B, Torrance, California 90505, US",yes,,
acdc-sg.com,"623 South Chestnut Drive; Suite B; Tomball, TX 77375, US",yes,yes,
acdcpowertechnologies.com,"3505 Naturally Fresh Blvd, Suite 360, Atlanta, GA 30349, US",yes,yes,
acec-ark.com,"3401 Kelley Hwy., Fort Smith, Arkansas 72904, US",yes,,
acedig.net,"502 E 16th St; Houston, Texas 77008, US",yes,yes,
aceelecservice.com,"10304 WASHINGTON PIKE; Corryton, Tennessee 37721, us",yes,yes,
aceelectrical.net,"8300 10th Ave N, Golden Valley, Minnesota 55427, US",yes,yes,
aceelectricmotor.com,"529 N Orange St, Stockton, California, US",yes,yes,
acelectricalsystems.com,"636A N MILLER RD; Springfield, Missouri 65802, us",NO - city/state only,yes,
aceviking.com,"2222 E 30th St; Erie, Pennsylvania 16510-2552, US",yes,yes,
acgtampa.com,"2706 Stallone Drive, Tampa, Florida 33605, US",yes,,
achesonautoworks.com,"8000 University Blvd., Clive, IA 50325, US",yes,,
aclightningprotection.com,"209 Plaza Drive, West Point, Nebraska 68788, US",yes,yes,
acmeelectriccompany.com,"5000 Martin St, Fort Worth, TX 76119",yes,yes,
acornelectrical.com,"PO BOX 550; PINEY FLATS, Tennessee 37686, US",yes,yes,
acrtmn.com,"Hopkins, MN 55449, US",NO - city/state only,,
acstraffic.net,"PO BOX 300666; Fern Park, Florida 32730, us",yes,yes,
actgti.com,"8666 Huebner Rd, Suite 204, SAN ANTONIO, TX 78240, US",yes,,
actionelectricalcontractors.com,"791 W Bel Air Ave; Aberdeen, Maryland 21001, US",yes,yes,
active-electric.com,"1885 Southtown Blvd, Dayton, Ohio 45439, US",yes,yes,
adc-electrical.co.uk,"Brindley Road; Hertburn Ind Est.; Washington, Tyne & Wear NE37 2SF, GB",yes,yes,
adkelectric.com,"109 Spring Run Dr; Monroeville, Pennsylvania 15146, US",yes,yes,
advance-electrical.com,"33 Appian Way, Smithfield, RI 02917, US",yes,yes,
advancedelectricalsolutions.com,"4051 S.W. 47TH AVENUE; FT. LAUDERDALE, Florida 33314, US",yes,yes,
advancedpowering.com,"30253 TOMAS; Rancho Santa Margarita, California 92688, US",yes,yes,
advancemotorsolutions.com,"175 SW 20th Way Unit N6, Dania Beach, FL 33004, US",yes,yes,
advdesign.com,"2750 KIllarney Drive, Suite 207, Woodbridge, VA 22192, US",yes,,
advind.com,"2196 Port Sheldon St., Jenison, Michigan 49428, US",yes,,
aecco.net,"620 Pratt Ave N, Schaumburg, IL 60193, US",yes,yes,
