flag,domain,company,contact,title,detail,priority,campaign
WRONG-ENTITY / NON-US - do not call unverified,aerones.com,Aerones Engineering,,,"contact located in LATVIA - non-US target, likely wrong match for a US electrical-services thesis; also titled CTO not Co-Founder",P2-candidate,
WRONG-ENTITY / NON-US - do not call unverified,petrellielectr.wpengine.com,"Petrelli Electric, INC",,,likely wrong match - returned a marketing-agency founder at aclipsemarketing.net (Orlando FL); the wpengine.com staging domain is not the real company domain. Find Petrelli Electric real domain before retrying.,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,sls-us.com,"Scientific Lightning Solutions, LLC",,,caution: phone set includes Panama (+507) and Brazil (+55) numbers and slplighting.com email guesses - contact may span multiple entities; verify the US mobiles,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,powerquality.org,Power Quality Inc,,,likely wrong match / non-US: contact location Bangkok Thailand with a powerquality.co.th email and +66 line; may be a Thai affiliate rather than the US target. Verify.,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,conduxtesmec.com,"Condux Tesmec, Inc.",,,Italy (Bergamo) - likely wrong match for US entity; office line only; all emails unverified,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,tcongrp.com,Technical Consulting Group,,,"office line only; profile location Mannheim, Germany - verify entity match",P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,e-hazard.com,e-Hazard,,,"Tunisia - likely wrong match, junk profile; office line only; all emails unverified. Also an electrical-safety training firm = repo DQ pattern",P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,bxperts.com,bXperts,,,Dominican Republic (Santo Domingo) - likely wrong match / non-US entity for a US target,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,challengerdrilling.com,"Challenger Drilling, Inc.",,,Kuwait - likely wrong match; also Night Manager not owner-level and office line only. Named lookup for Jeff Lutz (President/CEO) missed,P3-candidate,
WRONG-ENTITY / NON-US - do not call unverified,mossandmoss.com,Moss Electric,,,WARNING possible wrong company: provider returned Moss and Moss LLP law firm NY; named target Jeff Moss not returned,ben-B,Commercial & Industrial Contractors
WRONG-ENTITY / NON-US - do not call unverified,prenergy.com,"Prenergy Services, LLC",,,"WARNING Venezuela-based contacts, likely wrong company match; no verified emails",campaign-Nurture,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,pgdservices.com,Power Generation & Distribution Services,,,"WARNING India-based contact, likely wrong company match",campaign-Nurture,Testing & Commissioning
WRONG-ENTITY / NON-US - do not call unverified,excelltdinc.com,Excel Ltd. Inc.,,,only verified email is personal and name-mismatched (Andrew) - verify,campaign-Nurture,Electrical Equipment Mfg
WRONG-ENTITY / NON-US - do not call unverified,conreyelectric.com,Conrey Electric,,,"OWNERSHIP FLAG: alt emails on teamshares.com - possible Teamshares acquisition, verify before outreach",campaign-Nurture,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,flamtech-energy.com,Flamtech Technologies,,,no phone; non-owner title; contact in Venezuela - likely wrong match,campaign-Nurture,Mission critical power
WRONG-ENTITY / NON-US - do not call unverified,avsengineering.net,AVS Engineering,,,"likely wrong-person match (India-based, Self Employed)",campaign-Nurture,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,escventura.com,Electrical Solutions Corp,,,"named-mode mismatch: returned a UK Simon King at Arup, not the ESC Ventura owner; office line only",campaign-Nurture,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,secucontrol.com,SecuControl,,,office line only; Germany-based contact,campaign-Nurture,Electrical Equipment Mfg
WRONG-ENTITY / NON-US - do not call unverified,aclightningprotection.com,"A/C Lightning Protection, Inc.",,,likely wrong match - returned person is a Scooters Coffee franchise owner in Omaha NE with all verified emails on scooterscoffee.com; only aclightningprotection.com email is unverified/Very bad. Do not use without web verification.,campaign-Nurture,Lightning Protection
WRONG-ENTITY / NON-US - do not call unverified,ikpower.com,"IK Power System Solutions, Inc.",,,"title mismatch: provider returns Project Manager, work list had Owner; domain/initials/New Orleans location consistent so likely same person - verify title",campaign-Nurture,Power Systems Engineering
WRONG-ENTITY / NON-US - do not call unverified,lighthouseelec.com,Lighthouse Electrical,,,"Liberia location, no verified emails, office line only",campaign-P2,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,rselectriccorp.com,R/S Electric Corp.,,,title says Retired - verify current role,campaign-P2,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,rcgint.com,RCG International,,,"office line only; Lebanon-based record, likely wrong entity",campaign-P2,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,emc-co.com,"Electric Motor & Contracting Co., Inc",,,"office line only; Myanmar-located record, verify identity",campaign-P2,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,jenkinselectric.com,Jenkins Electric Company,,,"no phone, no verified email; LinkedIn record shows UK location - verify",campaign-P2,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,ppultd.co.uk,Premium Power Units Ltd.,,,office line only; UK company - likely out of US thesis scope,campaign-P2,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,ldpassociates.com,LDP Associates,,,"office line only; India-located record, likely wrong entity",campaign-P2,Mission critical power
WRONG-ENTITY / NON-US - do not call unverified,tlselectric.com,Tls Electric,,,no phone; contact located UK - possible wrong match,campaign-P2,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,americanenergy.us,North American Energy Services Company,,,no email or phone; non-owner title; contact in Mexico - likely wrong match,campaign-P2,Utility Line & Substation
WRONG-ENTITY / NON-US - do not call unverified,pointonwave.com,Point On Wave,,,office line only; contact located Canada - verify US operations,campaign-P2,Testing & Commissioning
WRONG-ENTITY / NON-US - do not call unverified,djselectrical.com,Dj Electrical,,,"office line only; non-owner title (Administrator), likely wrong-person match (Australia)",campaign-P2,Utility Line & Substation
WRONG-ENTITY / NON-US - do not call unverified,moodyselectricinc.godaddysites.com,Moody's Electric,,,"bad match - returned a GoDaddy employee, site is a godaddysites.com subdomain",campaign-P2,Commercial & Industrial Ctrs
WRONG-ENTITY / NON-US - do not call unverified,iemsbr.com,"Industrial Electric Motor Service, Inc.",,,"bad match - returned an India-based self-employed profile, not the owner",campaign-P2,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,janda.com,Janda Motor Services,,,"bad match - returned an Indonesia-based profile, not the US company owner",campaign-P2,Motor & Generator Companies
WRONG-ENTITY / NON-US - do not call unverified,alfatransformer.com,Alfa Transformer,,,office line only; contact located India - likely wrong match,campaign-P3,Electrical Equipment Mfg
WRONG-ENTITY / NON-US - do not call unverified,castrejoninc.com,Castrejon Incorporated,,,"bad match - Panama-based profile, not the US owner",campaign-P3,Utility Line & Substation
WRONG-ENTITY / NON-US - do not call unverified,knightselectric.com,"Knights' Electric, Inc.",,,"named lookup for Barbara Ragsdale (President/CEO) missed; fallback returned Art Knight, Owner - different person but plausible co-owner; no verified work email",master-DQ,
