event,series,start,city,state,rows_fetched,total_reported,truncated,our_targets
The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo 2023,The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo,2023-06-25,Oxon Hill,MD,500,507,True,55
Electro-Mechanical Authority (EASA) Conventions & Solutions Expo 2026,The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo,2026-06-13,Orlando,FL,336,336,False,41
Electro-Mechanical Authority (EASA) Conventions & Solutions Expo 2025,The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo,2025-07-19,Nashville,TN,274,274,False,25
Electrical Apparatus Service Association (EASA) Convention & Solutions Expo 2023,Electrical Apparatus Service Association (EASA) Convention & Solutions Expo,2023-06-24,Oxon Hill,MD,172,172,False,11
National Rural Electric Cooperative Association (NRECA) PowerXchange 2026,National Rural Electric Cooperative Association (NRECA) PowerXchange,2026-03-06,Nashville,TN,490,490,False,7
The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo 2022,The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo,2022-06-26,St. Louis,MO,129,129,False,5
Electrical Apparatus Service Association (EASA) 2020,Electrical Apparatus Service Association (EASA),2020-06-14,Nashville,TN,124,124,False,4
National Electrical Contractors Association (NECA) Chicago 2025,National Electrical Contractors Association (NECA),2025-09-12,Chicago,IL,409,409,False,4
Professional Electrical Apparatus Reconditioning League (PEARL) Conference & Exhibition 2026,Professional Electrical Apparatus Reconditioning League (PEARL) Conference and Exhibition,2026-04-23,Cleveland,OH,28,28,False,4
PowerTest InterNational Electrical Testing Association (NETA) 2024,PowerTest InterNational Electrical Testing Association NETA,2024-02-25,Dallas,TX,94,94,False,4
Southeastern Electric Exchange (S.E.E.) Annual Conference & Trade Show 2026,Southeastern Electric Exchange (S.E.E.) Annual Conference & Trade Show,2026-06-23,Grapevine,TX,181,181,False,4
The Expo at PowerXchange and TechAdvantage 2026,The Expo at PowerXchange and TechAdvantage,2026-03-09,Nashville,TN,387,387,False,4
Electro-Mechanical Authority (EASA) Conventions & Solutions Expo 2024,Electro-Mechanical Authority (EASA) Conventions & Solutions Expo,2024-06-23,Las Vegas,NV,160,160,False,3
Transmission & Substation Design & Operation Symposium (TSDOS) 2021,Transmission & Substation Design & Operation Symposium (TSDOS),2021-09-08,Frisco,TX,108,108,False,3
iP Utility Safety Conference & Expo 2026,iP Utility Safety Conference & Expo,2026-11-03,Glendale,AZ,95,95,False,3
Professional Electrical Apparatus Reconditioning League (PEARL) Conference 2023,Professional Electrical Apparatus Reconditioning League (PEARL) Conference,2023-04-14,Portland,OR,16,16,False,3
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,163,163,False,2
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,101,101,False,2
Advancing Electrical Prefabrication 2026,Advancing Electrical Prefabrication,2026-07-22,Dallas,TX,68,68,False,2
Utility Supply Management Alliance (USMA) Conference 2024,Utility Supply Management Alliance (USMA) Conference,2024-05-19,Scottsdale,AZ,86,86,False,2
Transmission & Substation Design & Operation Symposium (TSDOS) 2023,Transmission & Substation Design & Operation Symposium (TSDOS),2023-09-06,Frisco,TX,95,95,False,2
Transmission & Substation Design & Operation Symposium (TSDOS) 2022,Transmission & Substation Design & Operation Symposium (TSDOS),2022-09-07,Frisco,TX,113,113,False,2
Transmission & Substation Design & Operation Symposium (TSDOS) 2026,Transmission & Substation Design & Operation Symposium (TSDOS),2026-09-02,Arlington,TX,144,144,False,2
Electrical Apparatus Service Association (EASA) Convention & Solutions Expo 2024,Electrical Apparatus Service Association (EASA) Convention & Solutions Expo,2024-06-23,Las Vegas,NV,150,150,False,2
International Lineman's Rodeo & Expo 2026,International Lineman's Rodeo & Expo,2026-10-14,Overland Park,KS,29,29,False,1
Florida Municipal Electric Association (FMEA) Conference 2026,Florida Municipal Electric Association (FMEA) Conference,2026-07-14,Palm Beach,FL,60,60,False,1
Utility Supply Management Alliance (USMA) Conference 2025,Utility Supply Management Alliance (USMA) Conference,2025-05-18,Nashville,TN,6,6,False,1
Utility Supply Management Alliance (USMA) Conference 2023,Utility Supply Management Alliance (USMA) Conference,2023-05-21,Miami,FL,43,43,False,0
Transmission & Substation Design & Operation Symposium (TSDOS) 2025,Transmission & Substation Design & Operation Symposium (TSDOS),2025-09-03,Frisco,TX,58,58,False,0
Utility Supply Management Alliance (USMA) Conference 2026,Utility Supply Management Alliance (USMA) Conference,2026-05-17,Port Charlotte,FL,10,10,False,0
Transmission & Substation Design & Operation Symposium (TSDOS) 2024,Transmission & Substation Design & Operation Symposium (TSDOS),2024-09-04,Frisco,TX,24,24,False,0
Data Center World POWER 2026,Data Center World POWER,2026-09-21,Grapevine,TX,31,31,False,0
