id,name,series,start_date,end_date,city,state,source_link,grata_url,company_count,p2_attending,candidates_attending_count,master_attending_count,prior_edition_evidence,kept_reason
99H3YQHL,Electro-Mechanical Authority (EASA) Conventions & Solutions Expo 2027,The Electro-Mechanical Authority (EASA) Conventions + Solutions Expo,2027-06-13,2027-06-16,Orlando,FL,https://easa.com/convention,https://search.grata.com/lists/99H3YQHL/companies,0,[],0,0,"{'edition': 'EASA 2026 (Orlando, 2026-06-13/16)', 'p2_count': 28, 'master_count': 8}",Core S7 motor/apparatus repair trade convention; strongest P2 density of any series (28 P2s at the 2026 edition). 2027 roster not yet populated in Grata.
YDV77JYE,Clean Currents 2026,Clean Currents,2026-09-21,2026-09-25,Phoenix,AZ,https://cleancurrents.org/,https://search.grata.com/lists/YDV77JYE/companies,306,"[{'domain': 'lselectric.com', 'name': 'L & S Electric, Inc.', 'bucket': 'S7', 'wave': 'W3'}, {'domain': 'turbinepros.com', 'name': 'TurbinePROs', 'bucket': 'S7', 'wave': 'W2'}, {'domain': 'jenkinselectric.com', 'name': 'Jenkins Electric Company', 'bucket': 'T2', 'wave': 'W2'}, {'domain': 'sidewindersllc.com', 'name': 'Sidewinders, LLC', 'bucket': 'S7', 'wave': 'W2'}]",5,0,,"Hydropower O&M trade show, US; surfaced by P2 uid sweep. 4 P2s exhibit (L&S Electric, TurbinePROs, Jenkins Electric, Sidewinders) - hydro plant electro-mechanical services overlap S7/T2 apparatus trades."
ZMY8M97J,National Rural Electric Cooperative Association (NRECA) PowerXchange 2027,National Rural Electric Cooperative Association (NRECA) PowerXchange,2027-03-06,2027-03-11,Nashville,TN,https://www.cooperative.com/conferences-education/meetings/powerxchange/Pages/default.aspx,https://search.grata.com/lists/ZMY8M97J/companies,0,[],0,0,"{'edition': 'NRECA PowerXchange 2026 (Nashville, 2026-03-06/11)', 'p2_count': 3, 'master_count': 7}",Electric co-op leadership event - T3/utility-services buyer and target universe. Roster not yet populated.
62T94EWS,The Expo at PowerXchange and TechAdvantage 2027,The Expo at PowerXchange and TechAdvantage,2027-03-09,2027-03-11,Nashville,TN,https://www.cooperative.com/conferences-education/meetings/the-expo-at-powerxchange-and-techadvantage/Pages/default.aspx,https://search.grata.com/lists/62T94EWS/companies,0,[],0,0,"{'edition': 'Expo at PowerXchange and TechAdvantage 2026', 'p2_count': 2, 'master_count': 4}",Co-op tech/vendor expo co-located with PowerXchange. Roster not yet populated.
8KYJ3DWM,Southeastern Electric Exchange (S.E.E.) Annual Conference & Trade Show 2027,Southeastern Electric Exchange (S.E.E.) Annual Conference & Trade Show,2027-06-23,2027-06-26,Grapevine,TX,https://www.theexchange.org/conference,https://search.grata.com/lists/8KYJ3DWM/companies,0,[],0,0,"{'edition': 'S.E.E. 2026 (Grapevine, 2026-06-23/26)', 'p2_count': 2, 'master_count': 8}",Southeast investor-owned-utility operations exchange; strong master-list vendor presence at prior edition. Roster not yet populated.
JQWTSYVS,National Electrical Contractors Association (NECA) Convention & Trade Show Las Vegas 2026,National Electrical Contractors Association NECA Convention and Trade Show Las Vegas,2026-10-04,2026-10-07,Las Vegas,NV,https://www.necaconvention.org/,https://search.grata.com/lists/JQWTSYVS/companies,532,[],2,9,"{'edition': 'NECA Chicago 2025 (same NECA convention family)', 'p2_count': 1, 'master_count': 5}","Flagship NECA convention with populated 532-company roster; 9 master-list companies exhibit. Roster fetch truncated at 500/532 (deep-page 403) and is sorted large-company-first, so the small-company P2 intersection is likely understated."
BU33WGV5,Southwest Buildings & Facilities Management Trade Show & Conference (SWBFM) 2026,Southwest Buildings & Facilities Management Trade Show & Conference (SWBFM),2026-10-07,2026-10-08,Phoenix,AZ,https://swbfm.net/,https://search.grata.com/lists/BU33WGV5/companies,487,"[{'domain': 'canyonstateelectric.com', 'name': 'Canyon State Electric', 'bucket': 'T3', 'wave': 'W1'}]",1,1,,"Facilities-management trade show (thesis series); surfaced by P2 uid sweep - Canyon State Electric (T5, W1) exhibits alongside AZ commercial electrical/mechanical contractors."
BQZPKELW,Professional Electrical Apparatus Reconditioning League (PEARL) Conference & Exhibition 2027,Professional Electrical Apparatus Reconditioning League (PEARL) Conference and Exhibition,2027-04-23,2027-04-25,Cleveland,OH,https://pearl1.org/conference-details-copy/,https://search.grata.com/lists/BQZPKELW/companies,0,[],0,0,"{'edition': 'PEARL 2026 (Cleveland, 2026-04-23/25)', 'p2_count': 1, 'master_count': 2}",Reconditioned electrical apparatus trade (S7/T2 core). Roster not yet populated.
R8RXZY47,National Electrical Contractors Association (NECA) Chicago 2026,National Electrical Contractors Association (NECA),2026-09-12,2026-09-15,Chicago,IL,https://www.necashow.org/NECA2025/public/enter.aspx,https://search.grata.com/lists/R8RXZY47/companies,0,[],0,0,"{'edition': 'NECA Chicago 2025 (2025-09-12/15)', 'p2_count': 1, 'master_count': 5}",Flagship electrical-contracting trade convention (T5/T1 corroboration). Grata roster not yet populated for this edition.
SMEME7VD,National Electrical Contractors Association (NECA) Convention & Trade Show Las Vegas 2027,National Electrical Contractors Association NECA Convention and Trade Show Las Vegas,2027-10-04,2027-10-07,Las Vegas,NV,https://neca2026.smallworldlabs.com/home,https://search.grata.com/lists/SMEME7VD/companies,0,[],0,0,"{'edition': 'NECA Chicago 2025 (same NECA convention family)', 'p2_count': 1, 'master_count': 5}",2027 edition of the flagship NECA convention. Roster not yet populated.
