company,domain,headquarters,employees,ownership,year_founded,description,source_list,flag
"Dollar Tree, Inc.",dollartree.com,"Chesapeake, VA",150302,Public,1986,"Dollar Tree operates a national discount variety retail chain selling a wide assortment of low‑priced general merchandise to individual consumers. They focus on high‑volume sales of everyday consumables, household items, party and seasonal products, and basic personal care and grocery items, and they market themselves as a value retailer offering fixed low prices and convenient assortment across stores and digital channels.",NEJPTRNT,
Allied Universal,aus.com,"Irvine, CA",320041,Private Subsidiary,1957,"Allied Universal provides integrated security and facility services to organizations, delivering on-site security personnel combined with technology and professional services for businesses and institutions; they serve corporate, event, property management, and institutional customers and position themselves as a nationally supported, locally delivered partner using a risk-based, people-plus-technology approach.",NEJPTRNT,
Emerson Electric Co.,emerson.com,"Missouri, USA",166151,Public Subsidiary,1890,"Emerson Electric Co. designs and manufactures automation and control technologies, including process control systems, valves and actuators, sensing and analytical instruments, and HVAC/refrigeration controls, and provides related software and services. They primarily sell to industrial operators, OEMs, building and facilities managers, and systems integrators. They position themselves as a single-source supplier of control hardware, instrumentation, and software to support operational control and equipment lifecycle needs.",NEJPTRNT,
"Meta Platforms, Inc.",meta.com,"Menlo Park, CA",164941,Public,2004,"Meta Platforms, Inc. develops and operates widely used social networking and messaging applications and an advertising platform for businesses, while also building augmented/virtual reality hardware and software. They serve individual users who access their social and communication services and businesses that use their advertising, analytics, and developer tools. They position themselves as a provider of social connectivity and immersive experience technologies that enable communication, content sharing, and immersive computing.",NEJPTRNT,
Google,google.com,"Mountain View, CA",319402,Public Subsidiary,1998,"Google is a multinational technology company that specializes in internet-related products and services. Its offerings include online advertising technologies, search engine, cloud computing, software, and hardware. Google's typical customers include consumers, businesses, advertisers, and publishers who use its various products and services for different reasons. Google positions itself as a company that offers innovative and user-friendly technology solutions that aim to make the world's information accessible and useful.","NEJPTRNT,55X5CPA6",
"Securitas Security Services USA, Inc.",securitasinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Johnson Controls International plc,johnsoncontrols.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Kiewit Corp.,kiewit.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ABM Industries Incorporated,abm.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
L'Air Liquide S.A.,airliquide.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Tetra Tech, Inc.",tetratech.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"American Electric Power Company, Inc.",aep.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Securitas Group,securitas.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Quanta Services, Inc.",quantaservices.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
"Rosendin Electric, Inc.",rosendin.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ,PXZB5DQZ",
Hubbell Incorporated,hubbell.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Johnson Electric Holdings Limited,johnsonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Black & Veatch,bv.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Brock Group,brockgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
USI Insurance Services,usi.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,55X5CPA6",
CDM Smith Inc.,cdmsmith.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"EMCOR Group, Inc.",emcorgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Los Angeles Department of Water and Power,ladwp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Generac Power Systems, Inc.",generac.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Day & Zimmermann,dayzim.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Valaris Limited,valaris.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Controls and Switchgear,cselectric.co.in,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NON_US_TLD
Black & McDonald Limited,blackandmcdonald.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,PXZB5DQZ",
Rehlko,heilatech.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Rackspace Technology,rackspace.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Centuri Group, Inc.",centuri.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Juniper Networks, Inc.",juniper.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ACCO Engineered Systems,accoes.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Miller Electric Company,mecojax.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
