event,series,start,city,state,company,domain,hq,employees,ownership,founded,in_target_list,priority,bucket,have_contact
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,IBM,manta.io,"Armonk, NY",327360,Public,1911,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Siemens AG,siemens.com,"München, Germany",611022,Private Subsidiary,1847,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Hitachi Energy Ltd.,hitachienergy.com,"Zürich, Switzerland",109669,Public Subsidiary,2020,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Duke Energy Corporation,duke-energy.com,"Charlotte, NC",72470,Public Subsidiary,1904,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Corteva,corteva.com,"Indianapolis, IN",59898,Public,2019,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Exelon Corporation,exeloncorp.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Stantec Inc.,stantec.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Andritz,andritz.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"American Electric Power Company, Inc.",aep.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Public Service Enterprise Group Incorporated,landing.pseg.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Eversource Energy,eversource.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Mitsubishi Electric Corp.,mitsubishielectric.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,FirstEnergy Corp.,firstenergycorp.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"SAS Institute, Inc.",sas.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Fugro,fugro.com,,,,,,,,
